"","word","Barely True","False","Half-True","Mostly-True","Not known","True"
"1","--number--",693,784,1106,1157,259,872
"2","say",361,417,411,334,192,268
"3","state",157,214,224,237,60,228
"4","year",154,170,217,224,45,178
"5","obama",134,164,142,84,105,73
"6","percent",121,129,216,243,34,191
"7","president",100,125,103,79,56,65
"8","tax",95,109,112,108,41,78
"9","care",86,96,78,64,46,54
"10","health",86,113,96,78,50,74
"11","people",81,84,106,115,39,57
"12","job",80,110,149,98,38,74
"13","million",80,78,141,117,35,78
"14","bill",70,74,75,59,30,52
"15","billion",64,69,101,64,20,36
"16","voted",64,56,47,49,26,38
"17","cut",61,50,91,74,7,36
"18","plan",58,58,56,35,24,27
"19","said",58,53,58,50,41,44
"20","clinton",57,52,40,34,26,17
"21","u.",57,78,69,67,34,57
"22","taxe",55,37,83,54,20,45
"23","obamacare",53,37,35,22,24,8
"24","time",52,53,91,75,15,65
"25","get",51,42,36,37,14,43
"26","government",50,79,59,40,32,38
"27","texa",50,46,78,63,19,56
"28","barack",49,83,53,31,46,29
"29","budget",49,76,54,68,10,37
"30","american",48,52,98,87,28,70
"31","school",47,39,69,52,19,39
"32","cost",46,43,56,49,12,20
"33","republican",46,63,75,82,24,45
"34","now",43,52,64,61,10,45
"35","hillary",42,33,29,24,24,10
"36","even",41,24,35,36,14,31
"37","security",40,31,32,17,18,18
"38","every",39,54,63,72,12,56
"39","democrat",38,36,38,22,13,25
"40","office",38,26,34,36,13,33
"41","women",37,28,29,34,10,25
"42","america",35,30,32,34,15,26
"43","social",34,29,25,12,9,16
"44","spending",34,16,40,38,10,31
"45","dollar",33,21,49,42,12,27
"46","scott",33,50,38,20,21,14
"47","support",33,28,46,24,8,25
"48","vote",33,42,29,38,14,33
"49","wisconsin",33,68,36,38,30,28
"50","last",32,45,47,67,13,51
"51","medicare",32,38,40,18,14,10
"52","taxpayer",32,18,22,19,7,17
"53","make",30,16,23,31,18,13
"54","florida",29,34,51,45,9,31
"55","took",29,18,31,24,4,16
"56","administration",28,26,45,18,12,14
"57","first",28,37,30,43,11,46
"58","united",28,51,61,59,13,40
"59","country",27,52,56,64,17,59
"60","day",27,19,37,45,16,45
"61","going",27,34,25,18,16,14
"62","illegal",27,38,30,21,17,13
"63","like",27,23,22,17,14,16
"64","two",27,32,39,30,6,34
"65","worker",27,10,31,24,4,14
"66","can",26,27,37,35,17,28
"67","four",26,18,29,34,3,29
"68","rate",26,45,88,62,11,56
"69","bush",25,26,27,40,5,27
"70","congres",25,23,33,15,14,29
"71","right",25,47,43,33,11,21
"72","gov",24,32,30,18,17,14
"73","house",24,40,23,39,13,26
"74","les",24,13,23,38,8,24
"75","since",24,31,79,70,13,74
"76","know",23,16,13,13,7,17
"77","oil",23,16,32,34,2,21
"78","walker",23,37,22,8,12,7
"79","high",22,8,23,19,5,13
"80","paid",22,11,16,26,5,18
"81","passed",22,16,19,15,7,18
"82","romney",22,15,40,26,9,24
"83","student",22,19,27,40,4,14
"84","unemployment",22,24,40,26,7,19
"85","abortion",21,35,23,13,10,14
"86","governor",21,32,46,33,10,41
"87","national",21,24,24,34,14,32
"88","rep",21,17,13,4,23,8
"89","rick",21,24,34,20,12,11
"90","trump",21,23,30,38,11,22
"91","want",21,32,37,27,21,24
"92","actually",20,13,20,24,0,16
"93","clas",20,10,14,10,9,7
"94","increase",20,35,41,28,16,21
"95","nation",20,35,23,42,5,41
"96","nearly",20,15,34,32,8,38
"97","sen",20,19,27,12,7,20
"98","take",20,26,11,19,12,15
"99","act",19,20,33,25,4,12
"100","debt",19,22,41,33,6,36
"101","dont",19,32,29,31,17,13
"102","give",19,21,17,17,3,8
"103","middle",19,10,16,15,9,8
"104","per",19,27,30,31,5,22
"105","stimulu",19,21,22,10,9,11
"106","supported",19,18,24,19,2,10
"107","home",18,14,15,24,6,14
"108","almost",17,10,21,27,4,24
"109","highest",17,13,25,35,3,28
"110","private",17,19,31,19,11,19
"111","put",17,17,31,12,3,12
"112","white",17,18,18,10,9,8
"113","already",16,11,14,9,4,8
"114","college",16,12,28,32,3,17
"115","donald",16,14,28,26,10,19
"116","economic",16,15,17,14,3,5
"117","employee",16,22,20,18,2,19
"118","family",16,11,15,11,2,20
"119","group",16,13,9,3,7,4
"120","higher",16,13,23,17,2,20
"121","military",16,8,16,12,9,17
"122","never",16,36,22,24,14,21
"123","three",16,22,31,38,5,41
"124","work",16,24,37,19,9,10
"125","average",15,14,41,49,3,33
"126","deficit",15,16,28,23,1,7
"127","half",15,17,18,38,4,34
"128","party",15,18,16,28,5,15
"129","property",15,6,7,14,3,14
"130","u",15,14,16,10,6,10
"131","veteran",15,9,11,5,5,13
"132","busines",14,21,13,15,3,13
"133","growth",14,12,13,12,2,15
"134","increased",14,4,22,8,4,11
"135","mccain",14,13,15,19,5,33
"136","policie",14,6,6,3,5,4
"137","reagan",14,9,7,8,4,7
"138","real",14,4,7,4,5,3
"139","senior",14,13,11,5,6,6
"140","stop",14,9,5,2,3,6
"141","trillion",14,19,30,22,1,16
"142","wage",14,11,25,31,2,17
"143","border",13,13,19,13,18,6
"144","china",13,10,13,13,16,6
"145","create",13,10,13,4,5,4
"146","far",13,5,9,13,4,6
"147","five",13,19,26,28,8,19
"148","funding",13,16,28,30,7,13
"149","lost",13,16,34,21,11,12
"150","much",13,24,9,22,3,8
"151","reform",13,19,20,22,9,10
"152","run",13,8,10,10,3,3
"153","spend",13,12,17,23,5,23
"154","thing",13,12,11,5,0,10
"155","companie",12,18,23,22,2,12
"156","created",12,14,37,21,12,10
"157","familie",12,9,23,15,5,12
"158","foreign",12,8,11,4,8,10
"159","georgia",12,13,34,26,3,46
"160","immigration",12,19,19,23,6,7
"161","member",12,13,13,22,11,29
"162","mitt",12,12,27,20,7,17
"163","month",12,16,30,36,3,24
"164","world",12,21,32,45,13,22
"165","ago",11,10,13,15,6,21
"166","crime",11,16,17,19,7,21
"167","free",11,12,10,4,9,4
"168","got",11,13,19,26,8,9
"169","iraq",11,12,16,12,1,17
"170","level",11,7,12,24,4,13
"171","making",11,13,14,12,7,2
"172","mandate",11,8,6,7,3,4
"173","term",11,8,16,16,6,20
"174","today",11,21,24,44,6,27
"175","back",10,11,19,19,8,16
"176","ban",10,9,13,7,6,7
"177","came",10,11,10,15,3,9
"178","control",10,16,15,9,6,6
"179","david",10,10,6,14,5,3
"180","employer",10,5,5,4,1,4
"181","end",10,12,9,12,7,8
"182","ever",10,25,13,16,4,12
"183","iran",10,19,13,13,3,6
"184","men",10,5,11,9,2,6
"185","mexico",10,11,14,10,0,5
"186","north",10,4,6,12,2,1
"187","option",10,5,1,3,1,1
"188","paul",10,14,16,7,1,10
"189","reduce",10,7,12,4,1,2
"190","reserve",10,5,3,6,2,4
"191","ronald",10,7,6,5,2,4
"192","senator",10,10,15,9,2,19
"193","sex",10,7,10,8,4,4
"194","single",10,15,23,19,4,7
"195","top",10,7,23,23,1,24
"196","tried",10,5,7,4,4,4
"197","weve",10,14,26,25,3,18
"198","able",9,10,3,9,2,4
"199","attack",9,18,9,5,4,3
"200","attorney",9,7,6,4,2,5
"201","benghazi",9,6,1,1,1,1
"202","deal",9,24,20,11,3,6
"203","foundation",9,1,2,1,1,1
"204","general",9,13,12,8,4,15
"205","little",9,4,3,6,2,5
"206","nothing",9,12,6,2,8,5
"207","patient",9,4,2,5,3,2
"208","power",9,2,11,9,6,10
"209","promised",9,5,3,2,1,4
"210","provide",9,9,4,12,3,5
"211","raising",9,5,17,4,5,3
"212","seven",9,7,12,13,3,14
"213","six",9,9,8,21,1,19
"214","special",9,6,8,7,5,1
"215","still",9,10,17,20,3,21
"216","third",9,12,15,20,1,12
"217","tuition",9,5,4,14,0,10
"218","affordable",8,12,9,10,3,3
"219","aid",8,8,5,12,3,5
"220","called",8,10,14,11,3,16
"221","combined",8,10,19,9,1,17
"222","congressman",8,9,7,6,4,2
"223","debate",8,8,8,3,5,3
"224","defense",8,4,7,18,3,5
"225","help",8,12,16,9,7,3
"226","idea",8,7,5,3,1,2
"227","isi",8,12,7,4,4,4
"228","jim",8,8,6,2,1,5
"229","mayor",8,11,18,6,6,9
"230","old",8,9,11,4,3,6
"231","opposed",8,7,11,5,0,8
"232","pas",8,5,5,4,2,2
"233","place",8,9,12,7,7,3
"234","recent",8,10,9,15,7,2
"235","report",8,9,14,8,9,4
"236","rob",8,4,3,3,2,0
"237","sector",8,9,24,15,4,15
"238","see",8,10,8,12,1,5
"239","stand",8,5,7,1,3,3
"240","supreme",8,15,6,6,4,14
"241","trade",8,13,15,8,6,7
"242","w",8,7,6,8,1,5
"243","water",8,8,9,14,3,11
"244","whether",8,22,7,9,3,4
"245","bargaining",7,3,3,2,2,3
"246","bipartisan",7,3,4,7,1,9
"247","call",7,7,9,4,4,5
"248","car",7,7,9,7,8,6
"249","charge",7,10,9,3,5,5
"250","death",7,3,9,8,4,17
"251","deciding",7,5,0,0,0,0
"252","deduction",7,1,1,1,2,2
"253","different",7,3,2,3,1,10
"254","doctor",7,14,1,5,4,7
"255","email",7,7,4,5,1,1
"256","fee",7,3,5,3,5,4
"257","feingold",7,5,2,1,0,3
"258","former",7,8,13,4,5,8
"259","good",7,5,10,2,5,4
"260","hispanic",7,3,9,5,0,10
"261","island",7,14,15,18,7,23
"262","january",7,2,4,2,4,0
"263","kind",7,4,3,6,2,3
"264","led",7,7,9,6,4,8
"265","major",7,6,7,21,1,7
"266","medical",7,4,14,13,3,3
"267","order",7,5,6,4,6,4
"268","point",7,8,11,10,0,6
"269","policy",7,6,10,1,4,6
"270","poverty",7,4,13,20,0,5
"271","recall",7,3,2,0,1,5
"272","rhode",7,12,17,19,6,21
"273","second",7,17,12,19,3,9
"274","small",7,20,5,7,4,11
"275","team",7,4,1,2,6,5
"276","thousand",7,8,17,5,7,8
"277","using",7,5,6,2,1,3
"278","zero",7,5,6,6,6,9
"279","agreed",6,2,0,1,0,1
"280","among",6,7,22,8,2,12
"281","amount",6,3,14,10,0,4
"282","bailout",6,2,9,2,0,2
"283","became",6,2,10,11,1,7
"284","biden",6,2,4,2,1,1
"285","bring",6,6,12,6,2,4
"286","businesse",6,22,10,16,4,10
"287","carolina",6,4,4,8,1,2
"288","cast",6,4,1,3,0,1
"289","cause",6,6,4,2,2,4
"290","cent",6,7,2,9,2,8
"291","community",6,4,4,5,2,8
"292","core",6,6,3,5,1,0
"293","creation",6,6,15,5,3,2
"294","cruz",6,5,3,2,6,4
"295","decade",6,5,17,20,1,13
"296","drop",6,5,7,2,1,2
"297","fought",6,2,3,2,0,3
"298","gone",6,6,20,8,1,8
"299","gotten",6,5,2,3,1,2
"300","he",6,5,13,4,3,5
"301","huge",6,1,5,3,2,1
"302","jeb",6,2,0,9,0,2
"303","jersey",6,17,9,16,2,18
"304","labor",6,9,2,8,1,4
"305","lake",6,4,2,4,2,1
"306","legal",6,6,11,8,0,9
"307","legislature",6,11,6,6,1,12
"308","let",6,7,9,5,7,4
"309","liberal",6,6,8,1,3,1
"310","life",6,8,16,12,8,5
"311","list",6,2,4,2,1,3
"312","lobbyist",6,4,10,6,3,11
"313","lowest",6,8,21,24,3,13
"314","murphy",6,4,0,2,1,0
"315","muslim",6,12,1,5,14,4
"316","offender",6,1,2,2,0,1
"317","ohio",6,17,23,26,14,22
"318","opponent",6,10,7,2,4,4
"319","outside",6,7,3,2,0,0
"320","population",6,8,16,14,4,15
"321","portman",6,3,3,3,0,0
"322","presidential",6,11,5,6,3,11
"323","protect",6,7,7,3,1,1
"324","rus",6,5,2,1,0,2
"325","safety",6,3,5,4,1,0
"326","saudi",6,6,5,1,0,6
"327","sink",6,2,3,5,0,0
"328","taking",6,3,10,12,1,3
"329","traffic",6,5,2,4,1,2
"330","voter",6,17,21,10,12,20
"331","well",6,12,4,2,3,10
"332","ability",5,3,1,4,0,0
"333","around",5,2,7,10,4,3
"334","attacked",5,2,2,1,1,2
"335","book",5,2,2,1,5,5
"336","brother",5,2,3,3,1,0
"337","brown",5,7,9,6,7,5
"338","cap",5,8,3,3,5,4
"339","card",5,1,0,2,2,2
"340","check",5,4,14,15,4,12
"341","claim",5,7,5,3,3,11
"342","commission",5,11,1,2,0,3
"343","council",5,5,2,2,4,7
"344","cuccinelli",5,1,1,0,2,0
"345","delay",5,0,1,0,1,0
