"","word","Barely True","False","Half-True","Mostly-True","Not known","True"
"1","--number--",693,784,1106,1157,259,872
"2","say",361,417,411,334,192,268
"3","state",157,214,224,237,60,228
"4","year",154,170,217,224,45,178
"5","obama",134,164,142,84,105,73
"6","percent",121,129,216,243,34,191
"7","president",100,125,103,79,56,65
"8","tax",95,109,112,108,41,78
"9","care",86,96,78,64,46,54
"10","health",86,113,96,78,50,74
"11","people",81,84,106,115,39,57
"12","job",80,110,149,98,38,74
"13","million",80,78,141,117,35,78
"14","bill",70,74,75,59,30,52
"15","billion",64,69,101,64,20,36
"16","voted",64,56,47,49,26,38
"17","cut",61,50,91,74,7,36
"18","plan",58,58,56,35,24,27
"19","said",58,53,58,50,41,44
"20","clinton",57,52,40,34,26,17
"21","u.",57,78,69,67,34,57
"22","federal",55,56,55,53,20,54
"23","taxe",55,37,83,54,20,45
"24","obamacare",53,37,35,22,24,8
"25","time",52,53,91,75,15,65
"26","get",51,42,36,37,14,43
"27","government",50,79,59,40,32,38
"28","texa",50,46,78,63,19,56
"29","barack",49,83,53,31,46,29
"30","budget",49,76,54,68,10,37
"31","american",48,52,98,87,28,70
"32","school",47,39,69,52,19,39
"33","cost",46,43,56,49,12,20
"34","republican",46,63,75,82,24,45
"35","pay",44,39,51,52,17,52
"36","now",43,52,64,61,10,45
"37","hillary",42,33,29,24,24,10
"38","even",41,24,35,36,14,31
"39","security",40,31,32,17,18,18
"40","every",39,54,63,72,12,56
"41","democrat",38,36,38,22,13,25
"42","office",38,26,34,36,13,33
"43","women",37,28,29,34,10,25
"44","america",35,30,32,34,15,26
"45","public",34,28,44,32,9,31
"46","senate",34,40,34,42,9,29
"47","social",34,29,25,12,9,16
"48","spending",34,16,40,38,10,31
"49","city",33,32,33,22,8,31
"50","dollar",33,21,49,42,12,27
"51","scott",33,50,38,20,21,14
"52","support",33,28,46,24,8,25
"53","vote",33,42,29,38,14,33
"54","wisconsin",33,68,36,38,30,28
"55","last",32,45,47,67,13,51
"56","medicare",32,38,40,18,14,10
"57","taxpayer",32,18,22,19,7,17
"58","make",30,16,23,31,18,13
"59","florida",29,34,51,45,9,31
"60","took",29,18,31,24,4,16
"61","administration",28,26,45,18,12,14
"62","first",28,37,30,43,11,46
"63","raise",28,26,28,20,8,8
"64","united",28,51,61,59,13,40
"65","country",27,52,56,64,17,59
"66","day",27,19,37,45,16,45
"67","fund",27,23,31,17,10,13
"68","going",27,34,25,18,16,14
"69","illegal",27,38,30,21,17,13
"70","like",27,23,22,17,14,16
"71","two",27,32,39,30,6,34
"72","worker",27,10,31,24,4,14
"73","can",26,27,37,35,17,28
"74","four",26,18,29,34,3,29
"75","rate",26,45,88,62,11,56
"76","bush",25,26,27,40,5,27
"77","congres",25,23,33,15,14,29
"78","right",25,47,43,33,11,21
"79","go",24,18,16,25,13,16
"80","gov",24,32,30,18,17,14
"81","house",24,40,23,39,13,26
"82","les",24,13,23,38,8,24
"83","program",24,20,30,34,14,22
"84","since",24,31,79,70,13,74
"85","know",23,16,13,13,7,17
"86","oil",23,16,32,34,2,21
"87","walker",23,37,22,8,12,7
"88","high",22,8,23,19,5,13
"89","immigrant",22,22,23,19,6,11
"90","paid",22,11,16,26,5,18
"91","passed",22,16,19,15,7,18
"92","romney",22,15,40,26,9,24
"93","student",22,19,27,40,4,14
"94","unemployment",22,24,40,26,7,19
"95","abortion",21,35,23,13,10,14
"96","governor",21,32,46,33,10,41
"97","national",21,24,24,34,14,32
"98","rep",21,17,13,4,23,8
"99","rick",21,24,34,20,12,11
"100","trump",21,23,30,38,11,22
"101","want",21,32,37,27,21,24
"102","actually",20,13,20,24,0,16
"103","clas",20,10,14,10,9,7
"104","district",20,13,18,16,6,15
"105","income",20,28,30,38,7,35
"106","increase",20,35,41,28,16,21
"107","nation",20,35,23,42,5,41
"108","nearly",20,15,34,32,8,38
"109","sen",20,19,27,12,7,20
"110","take",20,26,11,19,12,15
"111","act",19,20,33,25,4,12
"112","debt",19,22,41,33,6,36
"113","dont",19,32,29,31,17,13
"114","education",19,16,34,31,7,20
"115","give",19,21,17,17,3,8
"116","just",19,33,47,30,11,32
"117","middle",19,10,16,15,9,8
"118","per",19,27,30,31,5,22
"119","stimulu",19,21,22,10,9,11
"120","supported",19,18,24,19,2,10
"121","system",19,14,21,25,6,18
"122","children",18,21,20,21,13,20
"123","history",18,20,30,27,5,22
"124","home",18,14,15,24,6,14
"125","almost",17,10,21,27,4,24
"126","department",17,12,13,22,9,18
"127","highest",17,13,25,35,3,28
"128","made",17,16,23,16,5,21
"129","private",17,19,31,19,11,19
"130","put",17,17,31,12,3,12
"131","that",17,12,20,17,11,10
"132","white",17,18,18,10,9,8
"133","already",16,11,14,9,4,8
"134","campaign",16,32,33,25,15,22
"135","college",16,12,28,32,3,17
"136","democratic",16,14,12,17,3,10
"137","donald",16,14,28,26,10,19
"138","economic",16,15,17,14,3,5
"139","employee",16,22,20,18,2,19
"140","family",16,11,15,11,2,20
"141","group",16,13,9,3,7,4
"142","higher",16,13,23,17,2,20
"143","hour",16,8,18,15,3,9
"144","john",16,23,26,18,13,24
"145","military",16,8,16,12,9,17
"146","never",16,36,22,24,14,21
"147","there",16,8,15,12,6,6
"148","three",16,22,31,38,5,41
"149","work",16,24,37,19,9,10
"150","average",15,14,41,49,3,33
"151","deficit",15,16,28,23,1,7
"152","half",15,17,18,38,4,34
"153","medicaid",15,19,14,13,2,10
"154","party",15,18,16,28,5,15
"155","property",15,6,7,14,3,14
"156","show",15,14,12,13,9,9
"157","u",15,14,16,10,6,10
"158","used",15,12,13,17,2,17
"159","veteran",15,9,11,5,5,13
"160","austin",14,9,13,11,9,10
"161","away",14,19,11,8,6,8
"162","benefit",14,18,21,11,2,10
"163","busines",14,21,13,15,3,13
"164","economy",14,19,30,20,10,15
"165","growth",14,12,13,12,2,15
"166","increased",14,4,22,8,4,11
"167","keep",14,10,13,6,5,9
"168","mccain",14,13,15,19,5,33
"169","number",14,31,27,30,9,30
"170","policie",14,6,6,3,5,4
"171","price",14,10,9,6,4,4
"172","proposed",14,20,19,15,3,18
"173","reagan",14,9,7,8,4,7
"174","real",14,4,7,4,5,3
"175","senior",14,13,11,5,6,6
"176","stop",14,9,5,2,3,6
"177","trillion",14,19,30,22,1,16
"178","wage",14,11,25,31,2,17
"179","went",14,15,23,13,4,11
"180","allow",13,11,9,12,6,6
"181","border",13,13,19,13,18,6
"182","china",13,10,13,13,16,6
"183","create",13,10,13,4,5,4
"184","didnt",13,14,9,9,6,10
"185","far",13,5,9,13,4,6
"186","five",13,19,26,28,8,19
"187","funding",13,16,28,30,7,13
"188","including",13,10,11,12,5,7
"189","legislation",13,12,17,9,8,15
"190","line",13,6,6,7,0,9
"191","lost",13,16,34,21,11,12
"192","much",13,24,9,22,3,8
"193","need",13,6,11,9,5,10
"194","perry",13,10,18,10,6,7
"195","reform",13,19,20,22,9,10
"196","run",13,8,10,10,3,3
"197","spend",13,12,17,23,5,23
"198","thing",13,12,11,5,0,10
"199","virginia",13,20,11,13,7,14
"200","companie",12,18,23,22,2,12
"201","created",12,14,37,21,12,10
"202","familie",12,9,23,15,5,12
"203","foreign",12,8,11,4,8,10
"204","georgia",12,13,34,26,3,46
"205","immigration",12,19,19,23,6,7
"206","individual",12,6,11,9,2,9
"207","many",12,14,17,25,7,16
"208","member",12,13,13,22,11,29
"209","mitt",12,12,27,20,7,17
"210","month",12,16,30,36,3,24
"211","next",12,7,13,11,3,10
"212","part",12,10,18,8,8,7
"213","planned",12,6,8,12,7,10
"214","use",12,17,13,18,11,16
"215","without",12,24,23,16,3,15
"216","world",12,21,32,45,13,22
"217","ago",11,10,13,15,6,21
"218","come",11,17,21,17,4,13
"219","congressional",11,12,10,8,3,5
"220","coverage",11,15,8,14,7,9
"221","crime",11,16,17,19,7,21
"222","free",11,12,10,4,9,4
"223","ga",11,13,26,13,5,12
"224","got",11,13,19,26,8,9
"225","iraq",11,12,16,12,1,17
"226","level",11,7,12,24,4,13
"227","majority",11,15,19,20,3,9
"228","making",11,13,14,12,7,2
"229","mandate",11,8,6,7,3,4
"230","parenthood",11,6,8,9,6,9
"231","revenue",11,14,13,10,1,6
"232","street",11,6,13,8,5,8
"233","term",11,8,16,16,6,20
"234","today",11,21,24,44,6,27
"235","wall",11,6,13,6,6,4
"236","back",10,11,19,19,8,16
"237","ban",10,9,13,7,6,7
"238","bank",10,5,11,8,4,5
"239","came",10,11,10,15,3,9
"240","cant",10,14,8,7,2,8
"241","company",10,6,6,9,6,8
"242","control",10,16,15,9,6,6
"243","david",10,10,6,14,5,3
"244","employer",10,5,5,4,1,4
"245","end",10,12,9,12,7,8
"246","ever",10,25,13,16,4,12
"247","iran",10,19,13,13,3,6
"248","largest",10,12,15,17,4,16
"249","men",10,5,11,9,2,6
"250","mexico",10,11,14,10,0,5
"251","north",10,4,6,12,2,1
"252","option",10,5,1,3,1,1
"253","oregon",10,13,8,18,1,15
"254","paul",10,14,16,7,1,10
"255","poll",10,9,13,16,4,7
"256","project",10,12,12,8,2,7
"257","proposal",10,9,11,8,2,10
"258","reduce",10,7,12,4,1,2
"259","reserve",10,5,3,6,2,4
"260","ronald",10,7,6,5,2,4
"261","ryan",10,13,15,8,1,7
"262","senator",10,10,15,9,2,19
"263","sex",10,7,10,8,4,4
"264","single",10,15,23,19,4,7
"265","top",10,7,23,23,1,24
"266","tried",10,5,7,4,4,4
"267","war",10,15,23,13,6,17
"268","weve",10,14,26,25,3,18
"269","york",10,11,7,12,2,10
"270","able",9,10,3,9,2,4
"271","amendment",9,15,17,10,2,10
"272","attack",9,18,9,5,4,3
"273","attorney",9,7,6,4,2,5
"274","benghazi",9,6,1,1,1,1
"275","birth",9,7,7,3,2,4
"276","break",9,8,13,10,1,4
"277","child",9,6,8,9,3,14
"278","deal",9,24,20,11,3,6
"279","force",9,9,15,14,9,10
"280","foundation",9,1,2,1,1,1
"281","gallon",9,7,3,8,2,4
"282","general",9,13,12,8,4,15
"283","ir",9,7,7,3,4,2
"284","leader",9,7,12,3,6,5
"285","little",9,4,3,6,2,5
"286","nothing",9,12,6,2,8,5
"287","past",9,11,22,14,4,17
"288","patient",9,4,2,5,3,2
"289","power",9,2,11,9,6,10
"290","promised",9,5,3,2,1,4
"291","provide",9,9,4,12,3,5
"292","raising",9,5,17,4,5,3
"293","rubio",9,5,8,10,4,9
"294","seven",9,7,12,13,3,14
"295","signed",9,5,10,5,3,5
"296","six",9,9,8,21,1,19
"297","special",9,6,8,7,5,1
"298","still",9,10,17,20,3,21
"299","third",9,12,15,20,1,12
"300","tuition",9,5,4,14,0,10
"301","affordable",8,12,9,10,3,3
"302","aid",8,8,5,12,3,5
"303","called",8,10,14,11,3,16
"304","clear",8,1,1,2,1,2
"305","climate",8,11,4,7,1,3
"306","combined",8,10,19,9,1,17
"307","congressman",8,9,7,6,4,2
"308","criminal",8,7,6,5,2,3
"309","data",8,7,2,5,2,0
"310","debate",8,8,8,3,5,3
"311","defense",8,4,7,18,3,5
"312","eight",8,9,19,11,2,7
"313","help",8,12,16,9,7,3
"314","hundred",8,6,12,6,1,5
"315","idea",8,7,5,3,1,2
"316","isi",8,12,7,4,4,4
"317","jim",8,8,6,2,1,5
"318","joe",8,5,9,5,3,3
"319","kill",8,4,7,2,5,5
"320","marco",8,3,7,8,4,8
"321","marriage",8,9,5,12,2,8
"322","mayor",8,11,18,6,6,9
"323","millionaire",8,3,11,6,2,4
"324","old",8,9,11,4,3,6
"325","opposed",8,7,11,5,0,8
"326","pas",8,5,5,4,2,2
"327","place",8,9,12,7,7,3
"328","recent",8,10,9,15,7,2
"329","report",8,9,14,8,9,4
"330","require",8,11,7,3,5,4
"331","rob",8,4,3,3,2,0
"332","saving",8,5,10,3,1,5
"333","sector",8,9,24,15,4,15
"334","see",8,10,8,12,1,5
"335","stand",8,5,7,1,3,3
"336","supreme",8,15,6,6,4,14
"337","taken",8,3,8,8,1,8
"338","trade",8,13,15,8,6,7
"339","w",8,7,6,8,1,5
"340","water",8,8,9,14,3,11
"341","whether",8,22,7,9,3,4
"342","bargaining",7,3,3,2,2,3
"343","behind",7,6,4,7,1,7
"344","bipartisan",7,3,4,7,1,9
"345","call",7,7,9,4,4,5
"346","car",7,7,9,7,8,6
