"","word","Barely True","False","Half-True","Mostly-True","Not known","True"
"1","--number--",693,784,1106,1157,259,872
"2","say",361,417,411,334,192,268
"3","state",157,214,224,237,60,228
"4","year",154,170,217,224,45,178
"5","obama",134,164,142,84,105,73
"6","percent",121,129,216,243,34,191
"7","president",100,125,103,79,56,65
"8","tax",95,109,112,108,41,78
"9","care",86,96,78,64,46,54
"10","people",81,84,106,115,39,57
"11","job",80,110,149,98,38,74
"12","million",80,78,141,117,35,78
"13","bill",70,74,75,59,30,52
"14","billion",64,69,101,64,20,36
"15","voted",64,56,47,49,26,38
"16","cut",61,50,91,74,7,36
"17","plan",58,58,56,35,24,27
"18","said",58,53,58,50,41,44
"19","clinton",57,52,40,34,26,17
"20","u.",57,78,69,67,34,57
"21","obamacare",53,37,35,22,24,8
"22","time",52,53,91,75,15,65
"23","get",51,42,36,37,14,43
"24","government",50,79,59,40,32,38
"25","texa",50,46,78,63,19,56
"26","barack",49,83,53,31,46,29
"27","budget",49,76,54,68,10,37
"28","american",48,52,98,87,28,70
"29","school",47,39,69,52,19,39
"30","cost",46,43,56,49,12,20
"31","now",43,52,64,61,10,45
"32","hillary",42,33,29,24,24,10
"33","security",40,31,32,17,18,18
"34","every",39,54,63,72,12,56
"35","democrat",38,36,38,22,13,25
"36","america",35,30,32,34,15,26
"37","social",34,29,25,12,9,16
"38","spending",34,16,40,38,10,31
"39","dollar",33,21,49,42,12,27
"40","scott",33,50,38,20,21,14
"41","vote",33,42,29,38,14,33
"42","wisconsin",33,68,36,38,30,28
"43","last",32,45,47,67,13,51
"44","medicare",32,38,40,18,14,10
"45","taxpayer",32,18,22,19,7,17
"46","administration",28,26,45,18,12,14
"47","first",28,37,30,43,11,46
"48","united",28,51,61,59,13,40
"49","country",27,52,56,64,17,59
"50","day",27,19,37,45,16,45
"51","illegal",27,38,30,21,17,13
"52","worker",27,10,31,24,4,14
"53","can",26,27,37,35,17,28
"54","four",26,18,29,34,3,29
"55","rate",26,45,88,62,11,56
"56","bush",25,26,27,40,5,27
"57","congres",25,23,33,15,14,29
"58","gov",24,32,30,18,17,14
"59","house",24,40,23,39,13,26
"60","les",24,13,23,38,8,24
"61","since",24,31,79,70,13,74
"62","know",23,16,13,13,7,17
"63","oil",23,16,32,34,2,21
"64","walker",23,37,22,8,12,7
"65","high",22,8,23,19,5,13
"66","paid",22,11,16,26,5,18
"67","romney",22,15,40,26,9,24
"68","student",22,19,27,40,4,14
"69","governor",21,32,46,33,10,41
"70","rick",21,24,34,20,12,11
"71","actually",20,13,20,24,0,16
"72","increase",20,35,41,28,16,21
"73","nation",20,35,23,42,5,41
"74","nearly",20,15,34,32,8,38
"75","act",19,20,33,25,4,12
"76","give",19,21,17,17,3,8
"77","per",19,27,30,31,5,22
"78","almost",17,10,21,27,4,24
"79","highest",17,13,25,35,3,28
"80","put",17,17,31,12,3,12
"81","college",16,12,28,32,3,17
"82","donald",16,14,28,26,10,19
"83","group",16,13,9,3,7,4
"84","never",16,36,22,24,14,21
"85","three",16,22,31,38,5,41
"86","work",16,24,37,19,9,10
"87","average",15,14,41,49,3,33
"88","deficit",15,16,28,23,1,7
"89","half",15,17,18,38,4,34
"90","u",15,14,16,10,6,10
"91","increased",14,4,22,8,4,11
"92","mccain",14,13,15,19,5,33
"93","policie",14,6,6,3,5,4
"94","real",14,4,7,4,5,3
"95","stop",14,9,5,2,3,6
"96","trillion",14,19,30,22,1,16
"97","wage",14,11,25,31,2,17
"98","border",13,13,19,13,18,6
"99","china",13,10,13,13,16,6
"100","create",13,10,13,4,5,4
"101","funding",13,16,28,30,7,13
"102","lost",13,16,34,21,11,12
"103","reform",13,19,20,22,9,10
"104","spend",13,12,17,23,5,23
"105","thing",13,12,11,5,0,10
"106","created",12,14,37,21,12,10
"107","foreign",12,8,11,4,8,10
"108","georgia",12,13,34,26,3,46
"109","member",12,13,13,22,11,29
"110","mitt",12,12,27,20,7,17
"111","world",12,21,32,45,13,22
"112","ago",11,10,13,15,6,21
"113","crime",11,16,17,19,7,21
"114","got",11,13,19,26,8,9
"115","level",11,7,12,24,4,13
"116","making",11,13,14,12,7,2
"117","mandate",11,8,6,7,3,4
"118","term",11,8,16,16,6,20
"119","today",11,21,24,44,6,27
"120","ban",10,9,13,7,6,7
"121","employer",10,5,5,4,1,4
"122","end",10,12,9,12,7,8
"123","north",10,4,6,12,2,1
"124","option",10,5,1,3,1,1
"125","reduce",10,7,12,4,1,2
"126","senator",10,10,15,9,2,19
"127","sex",10,7,10,8,4,4
"128","top",10,7,23,23,1,24
"129","able",9,10,3,9,2,4
"130","benghazi",9,6,1,1,1,1
"131","deal",9,24,20,11,3,6
"132","foundation",9,1,2,1,1,1
"133","nothing",9,12,6,2,8,5
"134","patient",9,4,2,5,3,2
"135","power",9,2,11,9,6,10
"136","promised",9,5,3,2,1,4
"137","provide",9,9,4,12,3,5
"138","raising",9,5,17,4,5,3
"139","six",9,9,8,21,1,19
"140","special",9,6,8,7,5,1
"141","third",9,12,15,20,1,12
"142","tuition",9,5,4,14,0,10
"143","debate",8,8,8,3,5,3
"144","defense",8,4,7,18,3,5
"145","help",8,12,16,9,7,3
"146","isi",8,12,7,4,4,4
"147","jim",8,8,6,2,1,5
"148","place",8,9,12,7,7,3
"149","recent",8,10,9,15,7,2
"150","report",8,9,14,8,9,4
"151","rob",8,4,3,3,2,0
"152","w",8,7,6,8,1,5
"153","whether",8,22,7,9,3,4
"154","call",7,7,9,4,4,5
"155","car",7,7,9,7,8,6
"156","charge",7,10,9,3,5,5
"157","death",7,3,9,8,4,17
"158","deciding",7,5,0,0,0,0
"159","deduction",7,1,1,1,2,2
"160","different",7,3,2,3,1,10
"161","doctor",7,14,1,5,4,7
"162","good",7,5,10,2,5,4
"163","island",7,14,15,18,7,23
"164","january",7,2,4,2,4,0
"165","led",7,7,9,6,4,8
"166","major",7,6,7,21,1,7
"167","order",7,5,6,4,6,4
"168","poverty",7,4,13,20,0,5
"169","recall",7,3,2,0,1,5
"170","team",7,4,1,2,6,5
"171","agreed",6,2,0,1,0,1
"172","among",6,7,22,8,2,12
"173","amount",6,3,14,10,0,4
"174","bailout",6,2,9,2,0,2
"175","became",6,2,10,11,1,7
"176","cast",6,4,1,3,0,1
"177","cause",6,6,4,2,2,4
"178","cent",6,7,2,9,2,8
"179","creation",6,6,15,5,3,2
"180","cruz",6,5,3,2,6,4
"181","decade",6,5,17,20,1,13
"182","he",6,5,13,4,3,5
"183","jeb",6,2,0,9,0,2
"184","jersey",6,17,9,16,2,18
"185","labor",6,9,2,8,1,4
"186","let",6,7,9,5,7,4
"187","muslim",6,12,1,5,14,4
"188","ohio",6,17,23,26,14,22
"189","portman",6,3,3,3,0,0
"190","protect",6,7,7,3,1,1
"191","voter",6,17,21,10,12,20
"192","well",6,12,4,2,3,10
"193","ability",5,3,1,4,0,0
"194","around",5,2,7,10,4,3
"195","book",5,2,2,1,5,5
"196","commission",5,11,1,2,0,3
"197","cuccinelli",5,1,1,0,2,0
"198","delay",5,0,1,0,1,0
"199","easier",5,3,2,1,0,0
"200","fact",5,10,15,5,7,13
"201","forcing",5,1,0,0,0,0
"202","holding",5,3,1,1,3,0
"203","id",5,5,3,5,2,6
"204","key",5,0,2,0,1,3
"205","lane",5,1,1,2,1,1
"206","low",5,4,12,10,1,5
"207","minimum",5,9,14,22,1,9
"208","nafta",5,3,2,0,0,0
"209","product",5,2,5,8,1,8
"210","rank",5,4,10,9,0,7
"211","sign",5,6,6,3,5,1
"212","violence",5,3,2,10,2,11
"213","ad",4,5,6,4,4,3
"214","african",4,5,9,7,5,15
"215","betty",4,2,0,0,1,0
"216","build",4,8,5,6,1,4
"217","canada",4,0,2,1,0,1
"218","constitution",4,4,6,1,6,3
"219","countrie",4,3,21,19,2,10
"220","davi",4,1,1,0,2,0
"221","everybody",4,9,2,2,1,2
"222","faith",4,0,1,1,0,0
"223","found",4,8,11,6,7,4
"224","k",4,4,7,4,1,1
"225","known",4,0,2,2,0,3
"226","living",4,1,7,8,2,8
"227","nine",4,4,2,8,1,6
"228","pre",4,2,4,4,1,2
"229","representative",4,7,2,5,0,12
"230","resident",4,7,6,5,5,11
"231","respect",4,0,1,1,0,0
"232","ruled",4,0,2,0,0,1
"233","safe",4,0,3,2,1,2
"234","secretary",4,14,7,10,3,6
"235","seen",4,9,10,14,1,2
"236","sexual",4,4,5,2,1,1
"237","start",4,2,6,6,1,3
"238","sutton",4,1,0,0,1,0
"239","target",4,2,1,0,0,1
"240","tonight",4,1,0,0,0,0
"241","uranium",4,0,0,0,1,0
"242","age",3,7,5,9,3,5
"243","ann",3,0,1,1,0,0
"244","anti",3,4,6,2,3,2
"245","beating",3,1,0,0,1,0
"246","bid",3,0,1,0,0,0
"247","braley",3,0,1,1,0,0
"248","capitol",3,2,1,2,5,2
"249","clinic",3,0,0,1,1,0
"250","coffman",3,0,0,1,0,0
"251","contribution",3,14,6,4,1,7
"252","cornille",3,1,0,0,1,0
"253","corridor",3,0,0,1,0,0
"254","d",3,2,4,4,3,2
"255","destroy",3,3,2,1,1,0
"256","doyle",3,1,0,1,0,0
"257","earn",3,1,3,11,1,2
"258","entire",3,9,8,12,3,18
"259","extreme",3,0,0,3,0,0
"260","eye",3,0,1,0,1,0
"261","frank",3,2,2,1,2,0
"262","funneled",3,0,1,0,0,0
"263","historically",3,0,2,0,0,5
"264","housing",3,2,9,5,1,0
"265","insider",3,0,0,1,0,1
"266","kander",3,1,0,0,0,0
"267","king",3,3,4,2,2,2
"268","kitzhaber",3,1,1,0,0,0
"269","loophole",3,1,5,5,0,8
"270","mention",3,1,1,0,0,1
"271","overhaul",3,1,0,0,0,0
"272","passe",3,3,1,0,1,1
"273","plu",3,2,2,3,2,0
"274","pres",3,1,1,4,2,3
"275","previou",3,1,3,4,1,9
"276","privatization",3,1,1,0,0,0
"277","promise",3,6,3,3,0,6
"278","proven",3,1,0,1,0,0
"279","rail",3,8,4,4,1,1
"280","rating",3,7,10,6,0,5
"281","regarding",3,0,0,0,1,0
"282","relocate",3,0,1,0,0,0
"283","represent",3,3,3,3,2,2
"284","roy",3,0,3,0,1,0
"285","scheme",3,8,2,0,0,0
"286","simpson",3,0,0,0,1,0
"287","size",3,2,6,4,4,9
"288","staffer",3,0,1,0,0,1
"289","stephen",3,1,0,0,1,0
"290","temperature",3,1,0,0,0,1
"291","ten",3,4,7,3,3,9
"292","tim",3,3,6,3,3,2
"293","voucher",3,2,3,7,1,0
"294","al",2,1,7,3,2,3
"295","ambassador",2,0,1,0,3,0
"296","annual",2,3,3,3,0,10
"297","barrow",2,0,1,0,1,0
"298","bathroom",2,1,0,0,3,0
"299","billionaire",2,3,5,0,0,0
"300","body",2,4,0,0,2,2
"301","bond",2,4,13,1,0,1
"302","broke",2,7,2,2,3,4
"303","building",2,14,8,3,0,5
"304","buse",2,0,1,1,0,1
"305","church",2,3,0,1,1,1
"306","commit",2,4,0,3,1,0
"307","considering",2,0,0,0,3,0
"308","de",2,2,1,0,1,0
"309","deleted",2,0,1,0,3,0
"310","done",2,8,9,8,3,7
"311","early",2,4,4,8,3,7
"312","earner",2,2,0,1,0,5
"313","east",2,3,4,4,0,3
"314","enough",2,3,6,8,1,11
"315","equal",2,5,3,8,1,3
"316","eric",2,4,8,2,2,1
"317","fire",2,2,5,10,7,6
"318","firm",2,1,4,1,0,1
"319","future",2,3,8,2,0,2
"320","grow",2,0,2,1,0,0
"321","lack",2,0,1,2,1,1
"322","legislative",2,7,1,4,0,1
"323","manufacturing",2,1,11,5,0,2
"324","mas",2,3,9,2,1,3
"325","mill",2,1,0,0,0,3
"326","minority",2,1,5,1,0,1
"327","minute",2,0,2,5,0,2
"328","mortality",2,0,6,1,0,2
"329","nationally",2,0,7,7,0,0
"330","other",2,2,2,0,0,2
"331","pat",2,2,3,1,1,1
"332","pen",2,0,0,0,0,1
"333","period",2,1,4,7,0,2
"334","phone",2,3,2,7,1,4
"335","prep",2,0,1,0,0,0
"336","protester",2,3,1,0,6,2
"337","raid",2,1,0,1,2,0
"338","re",2,3,4,3,1,4
"339","rich",2,2,1,7,0,2
"340","serving",2,2,5,1,6,5
"341","she",2,4,0,1,2,0
"342","speech",2,8,1,1,0,1
"343","takeover",2,3,0,0,4,1
