"","word","Barely True","False","Half-True","Mostly-True","Not known","True"
"1","--number--",693,784,1106,1157,259,872
"2","say",361,417,411,334,192,268
"3","state",157,214,224,237,60,228
"4","year",154,170,217,224,45,178
"5","obama",134,164,142,84,105,73
"6","percent",121,129,216,243,34,191
"7","president",100,125,103,79,56,65
"8","tax",95,109,112,108,41,78
"9","care",86,96,78,64,46,54
"10","health",86,113,96,78,50,74
"11","people",81,84,106,115,39,57
"12","job",80,110,149,98,38,74
"13","million",80,78,141,117,35,78
"14","bill",70,74,75,59,30,52
"15","billion",64,69,101,64,20,36
"16","voted",64,56,47,49,26,38
"17","cut",61,50,91,74,7,36
"18","plan",58,58,56,35,24,27
"19","said",58,53,58,50,41,44
"20","clinton",57,52,40,34,26,17
"21","u.",57,78,69,67,34,57
"22","taxe",55,37,83,54,20,45
"23","obamacare",53,37,35,22,24,8
"24","time",52,53,91,75,15,65
"25","get",51,42,36,37,14,43
"26","government",50,79,59,40,32,38
"27","texa",50,46,78,63,19,56
"28","barack",49,83,53,31,46,29
"29","budget",49,76,54,68,10,37
"30","american",48,52,98,87,28,70
"31","school",47,39,69,52,19,39
"32","cost",46,43,56,49,12,20
"33","republican",46,63,75,82,24,45
"34","now",43,52,64,61,10,45
"35","hillary",42,33,29,24,24,10
"36","even",41,24,35,36,14,31
"37","security",40,31,32,17,18,18
"38","every",39,54,63,72,12,56
"39","democrat",38,36,38,22,13,25
"40","office",38,26,34,36,13,33
"41","america",35,30,32,34,15,26
"42","public",34,28,44,32,9,31
"43","social",34,29,25,12,9,16
"44","spending",34,16,40,38,10,31
"45","dollar",33,21,49,42,12,27
"46","scott",33,50,38,20,21,14
"47","support",33,28,46,24,8,25
"48","vote",33,42,29,38,14,33
"49","wisconsin",33,68,36,38,30,28
"50","last",32,45,47,67,13,51
"51","medicare",32,38,40,18,14,10
"52","taxpayer",32,18,22,19,7,17
"53","make",30,16,23,31,18,13
"54","florida",29,34,51,45,9,31
"55","took",29,18,31,24,4,16
"56","administration",28,26,45,18,12,14
"57","first",28,37,30,43,11,46
"58","united",28,51,61,59,13,40
"59","country",27,52,56,64,17,59
"60","day",27,19,37,45,16,45
"61","going",27,34,25,18,16,14
"62","illegal",27,38,30,21,17,13
"63","like",27,23,22,17,14,16
"64","worker",27,10,31,24,4,14
"65","can",26,27,37,35,17,28
"66","four",26,18,29,34,3,29
"67","rate",26,45,88,62,11,56
"68","bush",25,26,27,40,5,27
"69","congres",25,23,33,15,14,29
"70","right",25,47,43,33,11,21
"71","go",24,18,16,25,13,16
"72","gov",24,32,30,18,17,14
"73","house",24,40,23,39,13,26
"74","les",24,13,23,38,8,24
"75","since",24,31,79,70,13,74
"76","know",23,16,13,13,7,17
"77","oil",23,16,32,34,2,21
"78","walker",23,37,22,8,12,7
"79","high",22,8,23,19,5,13
"80","paid",22,11,16,26,5,18
"81","romney",22,15,40,26,9,24
"82","student",22,19,27,40,4,14
"83","abortion",21,35,23,13,10,14
"84","governor",21,32,46,33,10,41
"85","rep",21,17,13,4,23,8
"86","rick",21,24,34,20,12,11
"87","want",21,32,37,27,21,24
"88","actually",20,13,20,24,0,16
"89","clas",20,10,14,10,9,7
"90","income",20,28,30,38,7,35
"91","increase",20,35,41,28,16,21
"92","nation",20,35,23,42,5,41
"93","nearly",20,15,34,32,8,38
"94","sen",20,19,27,12,7,20
"95","take",20,26,11,19,12,15
"96","act",19,20,33,25,4,12
"97","debt",19,22,41,33,6,36
"98","dont",19,32,29,31,17,13
"99","education",19,16,34,31,7,20
"100","give",19,21,17,17,3,8
"101","just",19,33,47,30,11,32
"102","middle",19,10,16,15,9,8
"103","per",19,27,30,31,5,22
"104","supported",19,18,24,19,2,10
"105","home",18,14,15,24,6,14
"106","almost",17,10,21,27,4,24
"107","highest",17,13,25,35,3,28
"108","put",17,17,31,12,3,12
"109","white",17,18,18,10,9,8
"110","college",16,12,28,32,3,17
"111","donald",16,14,28,26,10,19
"112","economic",16,15,17,14,3,5
"113","employee",16,22,20,18,2,19
"114","family",16,11,15,11,2,20
"115","group",16,13,9,3,7,4
"116","higher",16,13,23,17,2,20
"117","military",16,8,16,12,9,17
"118","never",16,36,22,24,14,21
"119","three",16,22,31,38,5,41
"120","work",16,24,37,19,9,10
"121","average",15,14,41,49,3,33
"122","deficit",15,16,28,23,1,7
"123","half",15,17,18,38,4,34
"124","property",15,6,7,14,3,14
"125","u",15,14,16,10,6,10
"126","veteran",15,9,11,5,5,13
"127","benefit",14,18,21,11,2,10
"128","busines",14,21,13,15,3,13
"129","growth",14,12,13,12,2,15
"130","increased",14,4,22,8,4,11
"131","mccain",14,13,15,19,5,33
"132","number",14,31,27,30,9,30
"133","policie",14,6,6,3,5,4
"134","real",14,4,7,4,5,3
"135","senior",14,13,11,5,6,6
"136","stop",14,9,5,2,3,6
"137","trillion",14,19,30,22,1,16
"138","wage",14,11,25,31,2,17
"139","border",13,13,19,13,18,6
"140","china",13,10,13,13,16,6
"141","create",13,10,13,4,5,4
"142","far",13,5,9,13,4,6
"143","funding",13,16,28,30,7,13
"144","lost",13,16,34,21,11,12
"145","much",13,24,9,22,3,8
"146","reform",13,19,20,22,9,10
"147","run",13,8,10,10,3,3
"148","spend",13,12,17,23,5,23
"149","thing",13,12,11,5,0,10
"150","companie",12,18,23,22,2,12
"151","created",12,14,37,21,12,10
"152","foreign",12,8,11,4,8,10
"153","georgia",12,13,34,26,3,46
"154","member",12,13,13,22,11,29
"155","mitt",12,12,27,20,7,17
"156","month",12,16,30,36,3,24
"157","planned",12,6,8,12,7,10
"158","world",12,21,32,45,13,22
"159","ago",11,10,13,15,6,21
"160","crime",11,16,17,19,7,21
"161","free",11,12,10,4,9,4
"162","got",11,13,19,26,8,9
"163","iraq",11,12,16,12,1,17
"164","level",11,7,12,24,4,13
"165","making",11,13,14,12,7,2
"166","revenue",11,14,13,10,1,6
"167","term",11,8,16,16,6,20
"168","today",11,21,24,44,6,27
"169","wall",11,6,13,6,6,4
"170","ban",10,9,13,7,6,7
"171","came",10,11,10,15,3,9
"172","david",10,10,6,14,5,3
"173","employer",10,5,5,4,1,4
"174","end",10,12,9,12,7,8
"175","ever",10,25,13,16,4,12
"176","men",10,5,11,9,2,6
"177","north",10,4,6,12,2,1
"178","option",10,5,1,3,1,1
"179","paul",10,14,16,7,1,10
"180","reduce",10,7,12,4,1,2
"181","reserve",10,5,3,6,2,4
"182","senator",10,10,15,9,2,19
"183","sex",10,7,10,8,4,4
"184","single",10,15,23,19,4,7
"185","top",10,7,23,23,1,24
"186","weve",10,14,26,25,3,18
"187","able",9,10,3,9,2,4
"188","attack",9,18,9,5,4,3
"189","benghazi",9,6,1,1,1,1
"190","deal",9,24,20,11,3,6
"191","foundation",9,1,2,1,1,1
"192","nothing",9,12,6,2,8,5
"193","past",9,11,22,14,4,17
"194","patient",9,4,2,5,3,2
"195","power",9,2,11,9,6,10
"196","promised",9,5,3,2,1,4
"197","provide",9,9,4,12,3,5
"198","raising",9,5,17,4,5,3
"199","six",9,9,8,21,1,19
"200","special",9,6,8,7,5,1
"201","still",9,10,17,20,3,21
"202","third",9,12,15,20,1,12
"203","tuition",9,5,4,14,0,10
"204","aid",8,8,5,12,3,5
"205","climate",8,11,4,7,1,3
"206","combined",8,10,19,9,1,17
"207","debate",8,8,8,3,5,3
"208","defense",8,4,7,18,3,5
"209","eight",8,9,19,11,2,7
"210","help",8,12,16,9,7,3
"211","idea",8,7,5,3,1,2
"212","isi",8,12,7,4,4,4
"213","jim",8,8,6,2,1,5
"214","mayor",8,11,18,6,6,9
"215","pas",8,5,5,4,2,2
"216","place",8,9,12,7,7,3
"217","recent",8,10,9,15,7,2
"218","report",8,9,14,8,9,4
"219","rob",8,4,3,3,2,0
"220","sector",8,9,24,15,4,15
"221","see",8,10,8,12,1,5
"222","stand",8,5,7,1,3,3
"223","supreme",8,15,6,6,4,14
"224","taken",8,3,8,8,1,8
"225","trade",8,13,15,8,6,7
"226","w",8,7,6,8,1,5
"227","whether",8,22,7,9,3,4
"228","bipartisan",7,3,4,7,1,9
"229","call",7,7,9,4,4,5
"230","car",7,7,9,7,8,6
"231","charge",7,10,9,3,5,5
"232","death",7,3,9,8,4,17
"233","deciding",7,5,0,0,0,0
"234","deduction",7,1,1,1,2,2
"235","different",7,3,2,3,1,10
"236","doctor",7,14,1,5,4,7
"237","email",7,7,4,5,1,1
"238","feingold",7,5,2,1,0,3
"239","former",7,8,13,4,5,8
"240","good",7,5,10,2,5,4
"241","held",7,1,4,4,1,3
"242","hispanic",7,3,9,5,0,10
"243","island",7,14,15,18,7,23
"244","january",7,2,4,2,4,0
"245","kind",7,4,3,6,2,3
"246","led",7,7,9,6,4,8
"247","major",7,6,7,21,1,7
"248","medical",7,4,14,13,3,3
"249","order",7,5,6,4,6,4
"250","poverty",7,4,13,20,0,5
"251","rhode",7,12,17,19,6,21
"252","small",7,20,5,7,4,11
"253","team",7,4,1,2,6,5
"254","thousand",7,8,17,5,7,8
"255","agreed",6,2,0,1,0,1
"256","among",6,7,22,8,2,12
"257","amount",6,3,14,10,0,4
"258","bailout",6,2,9,2,0,2
"259","became",6,2,10,11,1,7
"260","businesse",6,22,10,16,4,10
"261","cast",6,4,1,3,0,1
"262","cause",6,6,4,2,2,4
"263","cent",6,7,2,9,2,8
"264","creation",6,6,15,5,3,2
"265","cruz",6,5,3,2,6,4
"266","decade",6,5,17,20,1,13
"267","drop",6,5,7,2,1,2
"268","farm",6,2,1,5,4,5
"269","given",6,4,10,10,6,3
"270","gone",6,6,20,8,1,8
"271","he",6,5,13,4,3,5
"272","huge",6,1,5,3,2,1
"273","jeb",6,2,0,9,0,2
"274","jersey",6,17,9,16,2,18
"275","labor",6,9,2,8,1,4
"276","legal",6,6,11,8,0,9
"277","legislature",6,11,6,6,1,12
"278","let",6,7,9,5,7,4
"279","liberal",6,6,8,1,3,1
"280","list",6,2,4,2,1,3
"281","lose",6,10,9,5,6,3
"282","lowest",6,8,21,24,3,13
"283","massive",6,4,7,0,1,1
"284","muslim",6,12,1,5,14,4
"285","ohio",6,17,23,26,14,22
"286","opponent",6,10,7,2,4,4
"287","population",6,8,16,14,4,15
"288","presidential",6,11,5,6,3,11
"289","pro",6,4,8,7,0,3
"290","protect",6,7,7,3,1,1
"291","repeal",6,4,1,4,0,2
"292","saudi",6,6,5,1,0,6
"293","shooting",6,5,11,2,4,2
"294","taking",6,3,10,12,1,3
"295","traffic",6,5,2,4,1,2
"296","voter",6,17,21,10,12,20
"297","well",6,12,4,2,3,10
"298","ability",5,3,1,4,0,0
"299","arabia",5,5,2,1,0,5
"300","around",5,2,7,10,4,3
"301","book",5,2,2,1,5,5
"302","bureaucrat",5,7,1,2,3,1
"303","card",5,1,0,2,2,2
"304","check",5,4,14,15,4,12
"305","christian",5,10,2,1,2,1
"306","claim",5,7,5,3,3,11
"307","commission",5,11,1,2,0,3
"308","council",5,5,2,2,4,7
"309","cuccinelli",5,1,1,0,2,0
"310","delay",5,0,1,0,1,0
"311","fact",5,10,15,5,7,13
"312","food",5,4,10,14,10,10
"313","forcing",5,1,0,0,0,0
"314","gulf",5,1,6,2,2,0
"315","holding",5,3,1,1,3,0
"316","id",5,5,3,5,2,6
"317","include",5,10,13,4,5,2
"318","key",5,0,2,0,1,3
"319","kid",5,11,16,7,2,13
"320","lane",5,1,1,2,1,1
"321","low",5,4,12,10,1,5
"322","lower",5,6,14,13,1,7
"323","may",5,4,4,4,7,2
"324","mike",5,1,5,7,2,2
"325","minimum",5,9,14,22,1,9
"326","product",5,2,5,8,1,8
"327","rank",5,4,10,9,0,7
"328","rape",5,4,15,7,6,3
"329","result",5,9,13,10,2,2
"330","rule",5,9,10,5,2,12
"331","russia",5,2,3,8,1,3
"332","sent",5,11,5,3,4,13
"333","sign",5,6,6,3,5,1
"334","started",5,5,13,3,4,4
"335","ted",5,10,5,4,9,4
"336","told",5,11,6,6,4,2
"337","treatment",5,5,1,1,3,1
"338","violence",5,3,2,10,2,11
"339","ad",4,5,6,4,4,3
"340","add",4,2,6,3,1,3
"341","african",4,5,9,7,5,15
"342","agenda",4,1,5,0,3,0
"343","background",4,3,9,8,1,11
"344","become",4,6,2,9,4,2
"345","build",4,8,5,6,1,4
